Name,Internship,Term,Course_Name,Course_Code,Section_Code,Placement_Status,Site,SiteCategory,SUBJECT,Student_Name,StudentID,Assessment_Document_Title,Rubric_Title,Assessment_Status,AssessorUID,Assessor_Role,Assessment_Completion_Date,Score,Points_Possible,Percentage,Performance_Levels
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Glencliff High School,,History,,L22760234,Candidate Disposition (Spring 2016),Confident,Pending,220,intern,,,0,,
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Glencliff High School,,History,,L22760234,Candidate Disposition (Spring 2016),Principled,Pending,220,intern,,,0,,
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Glencliff High School,,History,,L22760234,Candidate Disposition (Spring 2016),Compassionate and Respectful ,Pending,220,intern,,,0,,
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Glencliff High School,,History,,L22760234,Candidate Disposition (Spring 2016),Collaborative,Pending,220,intern,,,0,,
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Glencliff High School,,History,,L22760234,Candidate Disposition (Spring 2016),Communicative,Pending,220,intern,,,0,,
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Mentor: Mid-Term Student Teaching Evaluation Rubric (Spring 2016),Craft,Completed,221,mentor,4/5/16 9:10,19,0,0,4.000-Exemplary|4.000-Exemplary|3.000-Proficient|4.000-Exemplary|4.000-Exemplary
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Mentor: Mid-Term Student Teaching Evaluation Rubric (Spring 2016),Attitudes and Values,Completed,221,mentor,4/5/16 9:10,20,0,0,4.000-Exemplary|4.000-Exemplary|4.000-Exemplary|4.000-Exemplary|4.000-Exemplary
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Mentor: Mid-Term Student Teaching Evaluation Rubric (Spring 2016),Relationships,Completed,221,mentor,4/5/16 9:10,19,0,0,4.000-Exemplary|4.000-Exemplary|4.000-Exemplary|4.000-Exemplary|3.000-Proficient
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Mentor: Mid-Term Student Teaching Evaluation Rubric (Spring 2016),Essential Knowledge,Completed,221,mentor,4/5/16 9:10,10,0,0,4.000-Exemplary|3.000-Proficient|3.000-Proficient
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Mentor: Final Student Teaching Evaluation Rubric (Spring 2016),Craft,Completed,221,mentor,4/12/16 9:07,20,0,0,4.000-Exemplary|4.000-Exemplary|4.000-Exemplary|4.000-Exemplary|4.000-Exemplary
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Mentor: Final Student Teaching Evaluation Rubric (Spring 2016),Attitudes and Values,Completed,221,mentor,4/12/16 9:07,20,0,0,4.000-Exemplary|4.000-Exemplary|4.000-Exemplary|4.000-Exemplary|4.000-Exemplary
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Mentor: Final Student Teaching Evaluation Rubric (Spring 2016),Relationships,Completed,221,mentor,4/12/16 9:07,20,0,0,4.000-Exemplary|4.000-Exemplary|4.000-Exemplary|4.000-Exemplary|4.000-Exemplary
,,,,,,,,,,,,,,,,,,,,,
TN: Lipscomb University,Student Teaching Seminar - Undergraduate Student Teaching Second Placement ,Spring 2016,Student Teaching Seminar,ED 4403,1,Completed,Crieve Hall Elementary,,K-6/ELL,,L22759460,Mentor: Final Student Teaching Evaluation Rubric (Spring 2016),Essential Knowledge,Completed,221,mentor,4/12/16 9:07,10,0,0,4.000-Exemplary|3.000-Proficient|3.000-Proficient
,,,,,,,,,,,,,,,,,,,,,
